id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
1,34,'9:20-9:46',0,0,0,0
2,28,'9:49-10:30',0,0,0,0
3,18,'10:33-11:18',0,0,0,0
4,33,'11:21-11:53',0,0,0,1
5,19,'13:00-13:42',0,0,0,0
6,7,'13:45-14:30',0,0,0,0
7,7,'14:33-14:48',0,0,0,1
8,20,'15:00-15:04',0,1,0,0
9,4,'15:04-15:08',0,1,0,0
10,2,'15:08-15:12',0,1,0,1
11,7,'15:50-15:55',0,1,0,0
12,27,'15:58-16:02',0,1,0,0
13,30,'16:02-16:06',0,1,0,0
14,34,'16:06-16:10',0,1,0,0
15,29,'16:12-16:16',0,1,0,0
16,33,'16:16-16:20',0,1,0,0
17,1,'16:20-16:24',0,1,0,0
18,0,'',0,0,0,0
