id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,12
7,1,7,13
8,1,8,14
9,1,9,15
10,1,10,20
11,1,11,21
12,1,12,24
13,2,1,1
14,2,2,2
15,2,3,3
16,2,4,4
17,2,5,5
18,2,6,11
19,2,7,12
20,2,8,13
21,2,9,14
22,2,10,19
23,2,11,20
24,2,12,23
25,3,1,6
26,3,2,7
27,3,3,8
28,3,4,9
29,3,5,14
30,3,6,15
31,3,7,16
32,3,8,17
33,3,9,20
34,3,10,21
35,3,11,23
36,4,1,1
37,4,2,2
38,4,3,3
39,4,4,7
40,4,5,8
41,4,6,9
42,4,7,10
43,4,8,15
44,4,9,16
45,4,10,19
46,5,1,6
47,5,2,7
48,5,3,8
49,5,4,9
50,5,5,10
51,5,6,15
52,5,7,16
53,5,8,17
54,5,9,18
55,5,10,21
56,5,11,22
57,5,12,24
58,6,1,5
59,6,2,6
60,6,3,11
